problem_id,problem_title,problem_solved,category,submit_id,user_id,result,memory,time,language,code
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571163,ohesung,런타임 에러 (TypeError),,,Python 3,"A, B = int(input().split())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571079,misheel,런타임 에러 (ValueError),,,Python 3,"A=int(input())
B=int(input())    
print(A+B)   "
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570952,etg2004,틀렸습니다,,,Python 3,"def add (A, B):
    return (A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570920,sonhoo772,맞았습니다!!,32412,40,Python 3,"A, B = map(int, input().split())
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570891,misheel,틀렸습니다,,,Python 3,"A=1
B=2
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570864,sonhoo772,런타임 에러 (TypeError),,,Python 3,"A, B = map(int(input().split()))
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570641,yuns1225,맞았습니다!!,32412,40,Python 3,"a,b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570536,yuns1225,런타임 에러 (TypeError),,,Python 3,"a,b = int(input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570523,greengamja,맞았습니다!!,32412,40,Python 3,"a ,b = map(int,input().split())

print(a+b)
"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570483,yuns1225,틀렸습니다,,,Python 3,"a,b = input().split()
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91569833,tmdwns7429,맞았습니다!!,32412,40,Python 3,"# 백준 1000번
A, B = map(int,input().split())
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91569372,saiyono,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91569010,elly3385,맞았습니다!!,32412,36,Python 3,"A, B = input().split()
A = int(A)
B = int(B)
if A > 0 and B < 10:
    print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568955,jun20091027,맞았습니다!!,32412,40,Python 3,"a,b = map(int,input().split())
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568942,jun20091027,런타임 에러 (ValueError),,,Python 3,"a,b = map(int,input())
print(a + b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568468,parzibal,맞았습니다!!,32412,36,Python 3,"A, B = map(int, input().split())

print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568245,justward,맞았습니다!!,32412,36,Python 3,"A,B= input().split()
print(int(A)+int(B))"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568242,sungbin05,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())

c= a + b

print(c)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568229,sungbin05,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())

c= a + b

print(c)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568217,saejun0117,런타임 에러 (EOFError),,,Python 3,"A = input()
B = input()
print(A+B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568171,rmrqhr17,맞았습니다!!,32412,40,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91568121,kkigon,런타임 에러 (ModuleNotFoundError),,,PyPy3,"import numpy as np
a, b = map(int, input().split())
a = np.array(a)
b = np.array(b)
print(a+b[0])"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91567918,ahyoung0511,런타임 에러 (ValueError),,,PyPy3,"a = int(input())
b = int(input())
c = a+b
print(c)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91567862,ahyoung0511,런타임 에러 (ValueError),,,Python 3,"a = int(input())
b = int(input())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91567117,youjun0411,컴파일 에러,,,PyPy3,"#include <stdio.h>
int main() {
    int a, b;
    scanf(""%d %d"",&a,&b);
    printf(""%d\n"",a+b);
    return 0;
}"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91567093,youjun0411,컴파일 에러,,,PyPy3,"#include <stdio.h>
int main() {
    int a, b;
    scanf(""%d %d"",&a,&b);
    printf(""%d\n"",a+b);
    return 0;
}"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91566928,heeya2,맞았습니다!!,32412,36,Python 3,"A, B = map(int, input().split())
print(A + B) "
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91566799,choimj0617,맞았습니다!!,32412,40,Python 3,"a, b = map(int, input().split())

print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91566736,pyorim,틀렸습니다,,,Python 3,"""2+3"""
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91565605,lskxw,맞았습니다!!,32412,44,Python 3,"fst, scd = map(int, input().split())
print(fst+scd)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91565364,pythonalism,맞았습니다!!,32412,44,Python 3,"a,b = map(int,input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564909,asdm1024,맞았습니다!!,32412,40,Python 3,"A, B = map(int, input().split())
print(A + B)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564791,deftkt,맞았습니다!!,32412,40,Python 3,"a,b = map(int,input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564699,hyinesian,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564472,gksdid,맞았습니다!!,32412,48,Python 3,"a, b = map(int, input().split())
print(a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564226,lofoxy,런타임 에러 (NameError),,,Python 3,"input = a
input = b
print('%d',a+b)"
1000번,A+B,38.554%,"수학, 구현, 사칙연산",91564085,kevin060729,런타임 에러 (ValueError),,,Python 3,"A = int(input(""A값을 입력하시오:""))

B = int(input(""B값을 입력하시오:""))

result = A + B

print(""A + B :"",result)"
